 2017-04-25 07:26:00,613 [P29608/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.5.13 application starting on H10DCPE72536
 2017-04-25 07:26:00,744 [P29608/D2/T1] INFO  Umbraco.Core.PluginManager - Determining hash of code files on disk
 2017-04-25 07:26:00,784 [P29608/D2/T1] INFO  Umbraco.Core.PluginManager - Hash determined (took 40ms)
 2017-04-25 07:26:00,884 [P29608/D2/T1] INFO  Umbraco.Core.MainDom - Acquiring MainDom...
 2017-04-25 07:26:00,885 [P29608/D2/T1] INFO  Umbraco.Core.MainDom - Acquired MainDom.
 2017-04-25 07:26:00,888 [P29608/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
 2017-04-25 07:26:01,382 [P29608/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 0 (took 493ms)
 2017-04-25 07:26:01,775 [P29608/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
 2017-04-25 07:26:01,776 [P29608/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 0ms)
 2017-04-25 07:26:01,776 [P29608/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
 2017-04-25 07:26:01,777 [P29608/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 0 (took 1ms)
 2017-04-25 07:26:01,842 [P29608/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Mvc.SurfaceController
 2017-04-25 07:26:01,843 [P29608/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 0ms)
 2017-04-25 07:26:01,843 [P29608/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
 2017-04-25 07:26:01,870 [P29608/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 0 (took 26ms)
 2017-04-25 07:26:02,350 [P29608/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
 2017-04-25 07:26:02,351 [P29608/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 0 (took 1ms)
 2017-04-25 07:26:02,352 [P29608/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
 2017-04-25 07:26:02,353 [P29608/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 0 (took 0ms)
 2017-04-25 07:26:05,157 [P29608/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2017-04-25 07:26:06,356 [P29608/D2/T1] INFO  Umbraco.Web.Cache.CacheRefresherEventHandler - Initializing Umbraco internal event handlers for cache refreshing
 2017-04-25 07:26:06,722 [P29608/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Initializing Examine and binding to business logic events
 2017-04-25 07:26:07,115 [P29608/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Adding examine event handlers for index providers: 3
 2017-04-25 07:26:07,299 [P29608/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco application startup complete (took 7055ms)
 2017-04-25 07:26:13,987 [P29608/D2/T7] INFO  Umbraco.Core.Sync.ApplicationUrlHelper - ApplicationUrl: http://localhost:49404/umbraco (UmbracoModule request)
 2017-04-25 07:26:15,722 [P29608/D2/T7] INFO  umbraco.content - Load Xml from file...
 2017-04-25 07:26:15,753 [P29608/D2/T7] INFO  umbraco.content - Loaded Xml from file.
 2017-04-25 07:26:17,460 [P29608/D2/T7] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IParameterEditor
 2017-04-25 07:26:17,461 [P29608/D2/T7] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IParameterEditor, found 0 (took 1ms)
 2017-04-25 07:27:02,033 [P29608/D2/T8] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Persistence.Mappers.BaseMapper
 2017-04-25 07:27:02,034 [P29608/D2/T8] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Persistence.Mappers.BaseMapper, found 0 (took 0ms)
 2017-04-25 07:27:02,795 [P29608/D2/T8] INFO  Umbraco.Core.Security.BackOfficeSignInManager - Event Id: 0, state: Login attempt succeeded for username loefflerm@84lumber.com from IP address ::1
